Province,Country,2/16/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,,,,,,,,,,,,,,,,
,Afghanistan,55518,55540,55557,55575,55580,55604,55617,55646,55664,55680,55696,55707,55714,55733,55759,55770,55775,55827,55840,55847,55876,55876,55894,55917,55959,55959,55985,55985,22,17,18,5,24,13,29,18,16,16,11,7,19,26,11,5,52,13,7,29,0,18,23,42,0,26,0,,,,,,,,,,,,,,,,
,Albania,94651,95726,96838,97909,99062,100246,101285,102306,103327,104313,105229,106215,107167,107931,108823,109674,110521,111301,112078,112897,113580,114209,114840,115442,116123,116821,117474,118017,1075,1112,1071,1153,1184,1039,1021,1021,986,916,986,952,764,892,851,847,780,777,819,683,629,631,602,681,698,653,543,,,,,,,,,,,,,,,,
,Algeria,111069,111247,111418,111600,111764,111917,112094,112279,112461,112622,112805,112960,113092,113255,113430,113593,113761,113948,114104,114234,114382,114543,114681,114851,115008,115143,115265,115410,178,171,182,164,153,177,185,182,161,183,155,132,163,175,163,168,187,156,130,148,161,138,170,157,135,122,145,,,,,,,,,,,,,,,,
,Andorra,10555,10583,10610,10645,10672,10699,10712,10739,10775,10799,10822,10849,10866,10889,10908,10948,10976,10998,11019,11042,11069,11089,11130,11130,11199,11228,11266,11289,28,27,35,27,27,13,27,36,24,23,27,17,23,19,40,28,22,21,23,27,20,41,0,69,29,38,23,,,,,,,,,,,,,,,,
,Angola,20389,20400,20452,20478,20499,20519,20548,20584,20640,20695,20759,20782,20807,20854,20882,20923,20981,21026,21055,21086,21108,21114,21161,21205,21265,21323,21380,21407,11,52,26,21,20,29,36,56,55,64,23,25,47,28,41,58,45,29,31,22,6,47,44,60,58,57,27,,,,,,,,,,,,,,,,
,Antigua and Barbuda,443,525,548,548,598,598,614,636,646,701,701,726,730,769,769,769,813,813,813,848,848,862,882,882,945,962,963,963,82,23,0,50,0,16,22,10,55,0,25,4,39,0,0,44,0,0,35,0,14,20,0,63,17,1,0,,,,,,,,,,,,,,,,
,Argentina,2033060,2039124,2046795,2054681,2060625,2064334,2069751,2077228,2085411,2093645,2098728,2104197,2107365,2112023,2118676,2126531,2133963,2141854,2146714,2149636,2154694,2162001,2169694,2177898,2185747,2192025,2195722,2201886,6064,7671,7886,5944,3709,5417,7477,8183,8234,5083,5469,3168,4658,6653,7855,7432,7891,4860,2922,5058,7307,7693,8204,7849,6278,3697,6164,,,,,,,,,,,,,,,,
,Armenia,169391,169597,169820,170011,170234,170402,170506,170672,170945,171227,171510,171793,172058,172216,172456,172816,173307,173749,174257,174679,175016,175198,175538,176286,177104,177899,178385,178702,206,223,191,223,168,104,166,273,282,283,283,265,158,240,360,491,442,508,422,337,182,340,748,818,795,486,317,,,,,,,,,,,,,,,,
Australian Capital Territory,Australia,118,118,118,118,118,118,118,118,118,118,118,118,118,118,120,120,120,120,122,122,122,123,123,123,123,123,123,123,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
New South Wales,Australia,5143,5143,5145,5146,5149,5150,5154,5155,5162,5166,5172,5177,5180,5183,5189,5193,5205,5207,5209,5210,5215,5220,5226,5234,5234,5237,5240,5242,0,2,1,3,1,4,1,7,4,6,5,3,3,6,4,12,2,2,1,5,5,6,8,0,3,3,2,,,,,,,,,,,,,,,,
Northern Territory,Australia,103,103,103,104,104,104,104,104,104,104,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Queensland,Australia,1320,1320,1321,1321,1321,1323,1323,1323,1324,1328,1329,1329,1331,1335,1335,1342,1344,1347,1349,1356,1362,1367,1373,1375,1379,1380,1386,1388,0,1,0,0,2,0,0,1,4,1,0,2,4,0,7,2,3,2,7,6,5,6,2,4,1,6,2,,,,,,,,,,,,,,,,
South Australia,Australia,608,608,608,608,610,610,612,613,613,613,613,613,616,617,618,618,618,618,618,618,620,621,624,626,631,631,634,636,0,0,0,2,0,2,1,0,0,0,0,3,1,1,0,0,0,0,0,2,1,3,2,5,0,3,2,,,,,,,,,,,,,,,,
Tasmania,Australia,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Victoria,Australia,20475,20476,20479,20479,20479,20479,20479,20479,20479,20481,20481,20481,20481,20481,20481,20481,20481,20482,20481,20482,20483,20483,20483,20483,20483,20483,20483,20483,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,-1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Western Australia,Australia,910,910,910,910,911,912,913,913,913,913,913,913,913,913,914,914,914,916,916,919,920,921,922,922,923,924,925,926,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,2,0,3,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,
